"Date Administered","AgeGroupVacc","7-day_avg_group_cases_per_100k","Administered_Dose1_pct_agegroup","Series_Complete_Pop_pct_agegroup"
"2022 Oct 11 12:00:00 AM","<2 Years","2.09182569878","5.2%","1.7%"
"2022 Oct 11 12:00:00 AM","12 - 17 Years","2.38929253853","71.1%","60.8%"
"2022 Oct 11 12:00:00 AM","25 - 49 Years","4.37537733777","84%","71%"
"2022 Oct 10 12:00:00 AM","<2 Years","2.88818089375","5.2%","1.7%"
"2022 Oct 10 12:00:00 AM","2 - 4 Years","3.36270797008","8%","3.2%"
"2022 Oct 10 12:00:00 AM","5 - 11 Years","2.30611610113","38.6%","31.6%"
"2022 Oct 10 12:00:00 AM","12 - 17 Years","3.08769234126","71.1%","60.8%"
"2022 Oct 10 12:00:00 AM","18 - 24 Years","4.94056660522","80.5%","65.5%"
"2022 Oct 10 12:00:00 AM","25 - 49 Years","5.53374053113","84%","71%"
"2022 Oct 10 12:00:00 AM","50 - 64 Years","4.93893232102","94.6%","82.7%"
"2022 Oct 10 12:00:00 AM","65+ Years","6.05299296639","95%","92.8%"
"2022 Oct 09 12:00:00 AM","<2 Years","3.78361605078","5.2%","1.7%"
"2022 Oct 09 12:00:00 AM","2 - 4 Years","4.16208387421","8%","3.2%"
"2022 Oct 09 12:00:00 AM","5 - 11 Years","2.83041601611","38.6%","31.6%"
"2022 Oct 09 12:00:00 AM","12 - 17 Years","3.90943994235","71.1%","60.8%"
"2022 Oct 09 12:00:00 AM","18 - 24 Years","6.14273490272","80.5%","65.5%"
"2022 Oct 09 12:00:00 AM","25 - 49 Years","6.93152788573","84%","71%"
"2022 Oct 09 12:00:00 AM","50 - 64 Years","6.50835724105","94.6%","82.7%"
"2022 Oct 09 12:00:00 AM","65+ Years","8.0925912949","95%","92.8%"
"2022 Oct 08 12:00:00 AM","<2 Years","4.52919276521","5.2%","1.7%"
"2022 Oct 08 12:00:00 AM","2 - 4 Years","4.81224294291","8%","3.2%"
"2022 Oct 08 12:00:00 AM","5 - 11 Years","3.26683040895","38.6%","31.6%"
"2022 Oct 08 12:00:00 AM","12 - 17 Years","4.43366808536","71.1%","60.8%"
"2022 Oct 08 12:00:00 AM","18 - 24 Years","6.96009588831","80.5%","65.5%"
"2022 Oct 08 12:00:00 AM","25 - 49 Years","7.8355194426","84%","71%"
"2022 Oct 08 12:00:00 AM","50 - 64 Years","7.4555062019","94.6%","82.7%"
"2022 Oct 08 12:00:00 AM","65+ Years","9.37771265686","95%","92.8%"
"2022 Oct 07 12:00:00 AM","<2 Years","5.14101153086","5.2%","1.7%"
"2022 Oct 07 12:00:00 AM","2 - 4 Years","5.30963239438","8%","3.1%"
"2022 Oct 07 12:00:00 AM","5 - 11 Years","3.53852222312","38.6%","31.6%"
"2022 Oct 07 12:00:00 AM","12 - 17 Years","4.81341940901","71.1%","60.8%"
"2022 Oct 07 12:00:00 AM","18 - 24 Years","7.52501571352","80.5%","65.5%"
"2022 Oct 07 12:00:00 AM","25 - 49 Years","8.56913623721","84%","71%"
"2022 Oct 07 12:00:00 AM","50 - 64 Years","8.30480731948","94.5%","82.7%"
"2022 Oct 07 12:00:00 AM","65+ Years","10.56373459238","95%","92.8%"
"2022 Oct 06 12:00:00 AM","<2 Years","6.21479061958","5.1%","1.7%"
"2022 Oct 06 12:00:00 AM","2 - 4 Years","6.30085851551","7.9%","3.1%"
"2022 Oct 06 12:00:00 AM","5 - 11 Years","4.13614377372","38.6%","31.6%"
"2022 Oct 06 12:00:00 AM","12 - 17 Years","5.56150096385","71.1%","60.8%"
"2022 Oct 06 12:00:00 AM","18 - 24 Years","8.57212651924","80.5%","65.5%"
"2022 Oct 06 12:00:00 AM","25 - 49 Years","9.82578238736","84%","71%"
"2022 Oct 06 12:00:00 AM","50 - 64 Years","9.66287181704","94.5%","82.7%"
"2022 Oct 06 12:00:00 AM","65+ Years","12.52458191002","95%","92.8%"
"2022 Oct 05 12:00:00 AM","<2 Years","6.75601491228","5.1%","1.7%"
"2022 Oct 05 12:00:00 AM","2 - 4 Years","6.71298120387","7.9%","3.1%"
"2022 Oct 05 12:00:00 AM","5 - 11 Years","4.33602056123","38.6%","31.5%"
"2022 Oct 05 12:00:00 AM","12 - 17 Years","5.8584493673","71.1%","60.8%"
"2022 Oct 05 12:00:00 AM","18 - 24 Years","9.0155531268","80.5%","65.5%"
"2022 Oct 05 12:00:00 AM","25 - 49 Years","10.52910739583","83.9%","71%"
"2022 Oct 05 12:00:00 AM","50 - 64 Years","10.41614129261","94.5%","82.7%"
"2022 Oct 05 12:00:00 AM","65+ Years","13.61784678241","95%","92.8%"
"2022 Oct 04 12:00:00 AM","<2 Years","7.18453574814","5.1%","1.6%"
"2022 Oct 04 12:00:00 AM","2 - 4 Years","6.63482000435","7.9%","3%"
"2022 Oct 04 12:00:00 AM","5 - 11 Years","4.07939483657","38.6%","31.5%"
"2022 Oct 04 12:00:00 AM","12 - 17 Years","5.57177994705","71.1%","60.8%"
"2022 Oct 04 12:00:00 AM","18 - 24 Years","8.04360738569","80.5%","65.5%"
"2022 Oct 04 12:00:00 AM","25 - 49 Years","9.54627782786","83.9%","71%"
"2022 Oct 04 12:00:00 AM","50 - 64 Years","10.23996976969","94.5%","82.7%"
"2022 Oct 04 12:00:00 AM","65+ Years","13.88475457093","95%","92.7%"
"2022 Oct 03 12:00:00 AM","<2 Years","7.78520801807","5.1%","1.6%"
"2022 Oct 03 12:00:00 AM","2 - 4 Years","7.2352401279","7.9%","3%"
"2022 Oct 03 12:00:00 AM","5 - 11 Years","4.41084880581","38.6%","31.5%"
"2022 Oct 03 12:00:00 AM","12 - 17 Years","6.0788764514","71.1%","60.8%"
"2022 Oct 03 12:00:00 AM","18 - 24 Years","8.74042062616","80.5%","65.5%"
"2022 Oct 03 12:00:00 AM","25 - 49 Years","10.28769905645","83.9%","71%"
"2022 Oct 03 12:00:00 AM","50 - 64 Years","10.97712045902","94.5%","82.7%"
"2022 Oct 03 12:00:00 AM","65+ Years","14.74282347125","95%","92.7%"
"2022 Oct 02 12:00:00 AM","<2 Years","8.50477624246","5%","1.6%"
"2022 Oct 02 12:00:00 AM","2 - 4 Years","8.00974655947","7.8%","3%"
"2022 Oct 02 12:00:00 AM","5 - 11 Years","4.928620082","38.6%","31.5%"
"2022 Oct 02 12:00:00 AM","12 - 17 Years","6.7116049726","71.1%","60.8%"
"2022 Oct 02 12:00:00 AM","18 - 24 Years","9.59323683091","80.4%","65.4%"
"2022 Oct 02 12:00:00 AM","25 - 49 Years","11.15531401423","83.9%","71%"
"2022 Oct 02 12:00:00 AM","50 - 64 Years","11.81098386583","94.5%","82.7%"
"2022 Oct 02 12:00:00 AM","65+ Years","15.68809986683","95%","92.7%"
"2022 Oct 01 12:00:00 AM","<2 Years","8.72151365944","5%","1.6%"
"2022 Oct 01 12:00:00 AM","2 - 4 Years","8.26732323969","7.8%","3%"
"2022 Oct 01 12:00:00 AM","5 - 11 Years","5.11845280983","38.6%","31.5%"
"2022 Oct 01 12:00:00 AM","12 - 17 Years","6.91946885501","71.1%","60.8%"
"2022 Oct 01 12:00:00 AM","18 - 24 Years","9.81920476099","80.4%","65.4%"
"2022 Oct 01 12:00:00 AM","25 - 49 Years","11.45188250567","83.9%","71%"
"2022 Oct 01 12:00:00 AM","50 - 64 Years","12.08750050876","94.5%","82.7%"
"2022 Oct 01 12:00:00 AM","65+ Years","16.00918200847","95%","92.7%"
"2022 Sep 30 12:00:00 AM","<2 Years","8.92586608117","5%","1.6%"
"2022 Sep 30 12:00:00 AM","2 - 4 Years","8.47693736566","7.8%","2.9%"
"2022 Sep 30 12:00:00 AM","5 - 11 Years","5.34645296443","38.6%","31.5%"
"2022 Sep 30 12:00:00 AM","12 - 17 Years","7.17872765341","71.1%","60.8%"
"2022 Sep 30 12:00:00 AM","18 - 24 Years","10.04990005363","80.4%","65.4%"
"2022 Sep 30 12:00:00 AM","25 - 49 Years","11.77093834927","83.9%","71%"
"2022 Sep 30 12:00:00 AM","50 - 64 Years","12.41600591297","94.5%","82.7%"
"2022 Sep 30 12:00:00 AM","65+ Years","16.3765105491","95%","92.7%"
"2022 Sep 29 12:00:00 AM","<2 Years","8.941966575","5%","1.5%"
"2022 Sep 29 12:00:00 AM","2 - 4 Years","8.59950833763","7.8%","2.9%"
"2022 Sep 29 12:00:00 AM","5 - 11 Years","5.50565131026","38.6%","31.5%"
"2022 Sep 29 12:00:00 AM","12 - 17 Years","7.5310683552","71.1%","60.8%"
"2022 Sep 29 12:00:00 AM","18 - 24 Years","10.27303156618","80.4%","65.4%"
"2022 Sep 29 12:00:00 AM","25 - 49 Years","11.9550700799","83.9%","70.9%"
"2022 Sep 29 12:00:00 AM","50 - 64 Years","12.51862128457","94.4%","82.6%"
"2022 Sep 29 12:00:00 AM","65+ Years","16.33528518771","95%","92.6%"
"2022 Sep 28 12:00:00 AM","<2 Years","9.20452847444","4.9%","1.5%"
"2022 Sep 28 12:00:00 AM","2 - 4 Years","8.96899764443","7.7%","2.8%"
"2022 Sep 28 12:00:00 AM","5 - 11 Years","5.9295106285","38.5%","31.5%"
"2022 Sep 28 12:00:00 AM","12 - 17 Years","8.18092851506","71%","60.8%"
"2022 Sep 28 12:00:00 AM","18 - 24 Years","10.82802393002","80.4%","65.4%"
"2022 Sep 28 12:00:00 AM","25 - 49 Years","12.42928865341","83.9%","70.9%"
"2022 Sep 28 12:00:00 AM","50 - 64 Years","12.98152558255","94.4%","82.6%"
"2022 Sep 28 12:00:00 AM","65+ Years","16.68860767608","95%","92.6%"
"2022 Sep 27 12:00:00 AM","<2 Years","9.21691346969","4.9%","1.5%"
"2022 Sep 27 12:00:00 AM","2 - 4 Years","8.91925869929","7.7%","2.8%"
"2022 Sep 27 12:00:00 AM","5 - 11 Years","6.03296444314","38.5%","31.5%"
"2022 Sep 27 12:00:00 AM","12 - 17 Years","8.38765028823","71%","60.8%"
"2022 Sep 27 12:00:00 AM","18 - 24 Years","10.84220601768","80.4%","65.4%"
"2022 Sep 27 12:00:00 AM","25 - 49 Years","12.51156590661","83.8%","70.9%"
"2022 Sep 27 12:00:00 AM","50 - 64 Years","13.13522161479","94.4%","82.6%"
"2022 Sep 27 12:00:00 AM","65+ Years","16.94811604076","95%","92.6%"
"2022 Sep 26 12:00:00 AM","<2 Years","9.35810241561","4.9%","1.4%"
"2022 Sep 26 12:00:00 AM","2 - 4 Years","9.22657432466","7.7%","2.7%"
"2022 Sep 26 12:00:00 AM","5 - 11 Years","6.48193391057","38.5%","31.5%"
"2022 Sep 26 12:00:00 AM","12 - 17 Years","9.0249472464","71%","60.8%"
"2022 Sep 26 12:00:00 AM","18 - 24 Years","11.06628300275","80.4%","65.4%"
"2022 Sep 26 12:00:00 AM","25 - 49 Years","12.79662616488","83.8%","70.9%"
"2022 Sep 26 12:00:00 AM","50 - 64 Years","13.3938032702","94.4%","82.6%"
"2022 Sep 26 12:00:00 AM","65+ Years","17.26417714479","95%","92.6%"
"2022 Sep 25 12:00:00 AM","<2 Years","9.61323331789","4.8%","1.4%"
"2022 Sep 25 12:00:00 AM","2 - 4 Years","9.67777761277","7.6%","2.7%"
"2022 Sep 25 12:00:00 AM","5 - 11 Years","7.03033956877","38.5%","31.5%"
"2022 Sep 25 12:00:00 AM","12 - 17 Years","9.85411855758","71%","60.8%"
"2022 Sep 25 12:00:00 AM","18 - 24 Years","11.29792376789","80.3%","65.4%"
"2022 Sep 25 12:00:00 AM","25 - 49 Years","13.17044532492","83.8%","70.9%"
"2022 Sep 25 12:00:00 AM","50 - 64 Years","13.69847103278","94.4%","82.6%"
"2022 Sep 25 12:00:00 AM","65+ Years","17.64921144961","95%","92.5%"
"2022 Sep 24 12:00:00 AM","<2 Years","9.57236283355","4.8%","1.4%"
"2022 Sep 24 12:00:00 AM","2 - 4 Years","9.69731791265","7.6%","2.7%"
"2022 Sep 24 12:00:00 AM","5 - 11 Years","7.15036608187","38.5%","31.5%"
"2022 Sep 24 12:00:00 AM","12 - 17 Years","10.20017765852","71%","60.8%"
"2022 Sep 24 12:00:00 AM","18 - 24 Years","11.29934197666","80.3%","65.4%"
"2022 Sep 24 12:00:00 AM","25 - 49 Years","13.20126622523","83.8%","70.9%"
"2022 Sep 24 12:00:00 AM","50 - 64 Years","13.72548702663","94.4%","82.6%"
"2022 Sep 24 12:00:00 AM","65+ Years","17.68198032662","95%","92.5%"
"2022 Sep 23 12:00:00 AM","<2 Years","9.74327576808","4.8%","1.4%"
"2022 Sep 23 12:00:00 AM","2 - 4 Years","9.96555293826","7.6%","2.6%"
"2022 Sep 23 12:00:00 AM","5 - 11 Years","7.40146757372","38.5%","31.4%"
"2022 Sep 23 12:00:00 AM","12 - 17 Years","10.54338148635","71%","60.8%"
"2022 Sep 23 12:00:00 AM","18 - 24 Years","11.59716581756","80.3%","65.4%"
"2022 Sep 23 12:00:00 AM","25 - 49 Years","13.34042325155","83.8%","70.9%"
"2022 Sep 23 12:00:00 AM","50 - 64 Years","13.82764834791","94.4%","82.6%"
"2022 Sep 23 12:00:00 AM","65+ Years","17.81279156951","95%","92.5%"
"2022 Sep 22 12:00:00 AM","<2 Years","9.97859067795","4.8%","1.4%"
"2022 Sep 22 12:00:00 AM","2 - 4 Years","10.23201157297","7.6%","2.5%"
"2022 Sep 22 12:00:00 AM","5 - 11 Years","7.79117708907","38.5%","31.4%"
"2022 Sep 22 12:00:00 AM","12 - 17 Years","11.00193834784","71%","60.7%"
"2022 Sep 22 12:00:00 AM","18 - 24 Years","12.02121023866","80.3%","65.4%"
"2022 Sep 22 12:00:00 AM","25 - 49 Years","13.59624995201","83.8%","70.9%"
"2022 Sep 22 12:00:00 AM","50 - 64 Years","14.03174396531","94.3%","82.6%"
"2022 Sep 22 12:00:00 AM","65+ Years","18.06357918466","95%","92.5%"
"2022 Sep 21 12:00:00 AM","<2 Years","10.2275290826","4.8%","1.3%"
"2022 Sep 21 12:00:00 AM","2 - 4 Years","10.52866885295","7.5%","2.5%"
"2022 Sep 21 12:00:00 AM","5 - 11 Years","8.1904284611","38.5%","31.4%"
"2022 Sep 21 12:00:00 AM","12 - 17 Years","11.42394771351","71%","60.7%"
"2022 Sep 21 12:00:00 AM","18 - 24 Years","12.39136272664","80.3%","65.4%"
"2022 Sep 21 12:00:00 AM","25 - 49 Years","13.8088215692","83.7%","70.8%"
"2022 Sep 21 12:00:00 AM","50 - 64 Years","14.14253224261","94.3%","82.6%"
"2022 Sep 21 12:00:00 AM","65+ Years","18.26415642376","95%","92.5%"
"2022 Sep 20 12:00:00 AM","<2 Years","10.54830045974","4.7%","1.3%"
"2022 Sep 20 12:00:00 AM","2 - 4 Years","10.93190958682","7.5%","2.4%"
"2022 Sep 20 12:00:00 AM","5 - 11 Years","8.4586048544","38.5%","31.4%"
"2022 Sep 20 12:00:00 AM","12 - 17 Years","11.75744361277","71%","60.7%"
"2022 Sep 20 12:00:00 AM","18 - 24 Years","12.85842614698","80.3%","65.3%"
"2022 Sep 20 12:00:00 AM","25 - 49 Years","14.01530837345","83.7%","70.8%"
"2022 Sep 20 12:00:00 AM","50 - 64 Years","14.25218539412","94.3%","82.5%"
"2022 Sep 20 12:00:00 AM","65+ Years","18.35823481258","95%","92.4%"
"2022 Sep 19 12:00:00 AM","<2 Years","10.88517233071","4.7%","1.3%"
"2022 Sep 19 12:00:00 AM","2 - 4 Years","11.27652942105","7.4%","2.4%"
"2022 Sep 19 12:00:00 AM","5 - 11 Years","8.74234954019","38.5%","31.4%"
"2022 Sep 19 12:00:00 AM","12 - 17 Years","12.23884265913","71%","60.7%"
"2022 Sep 19 12:00:00 AM","18 - 24 Years","13.45691024632","80.3%","65.3%"
"2022 Sep 19 12:00:00 AM","25 - 49 Years","14.31108319364","83.7%","70.8%"
"2022 Sep 19 12:00:00 AM","50 - 64 Years","14.53188038927","94.3%","82.5%"
"2022 Sep 19 12:00:00 AM","65+ Years","18.67403165147","95%","92.4%"
"2022 Sep 18 12:00:00 AM","<2 Years","11.01769177995","4.6%","1.2%"
"2022 Sep 18 12:00:00 AM","2 - 4 Years","11.33159753889","7.4%","2.3%"
"2022 Sep 18 12:00:00 AM","5 - 11 Years","9.07079029152","38.4%","31.4%"
"2022 Sep 18 12:00:00 AM","12 - 17 Years","12.55006742813","71%","60.7%"
"2022 Sep 18 12:00:00 AM","18 - 24 Years","13.87386362359","80.2%","65.3%"
"2022 Sep 18 12:00:00 AM","25 - 49 Years","14.35103131336","83.7%","70.8%"
"2022 Sep 18 12:00:00 AM","50 - 64 Years","14.52597773515","94.3%","82.5%"
"2022 Sep 18 12:00:00 AM","65+ Years","18.51758669028","95%","92.4%"
"2022 Sep 17 12:00:00 AM","<2 Years","11.20346670879","4.6%","1.2%"
"2022 Sep 17 12:00:00 AM","2 - 4 Years","11.52344775588","7.4%","2.3%"
"2022 Sep 17 12:00:00 AM","5 - 11 Years","9.16721326439","38.4%","31.4%"
"2022 Sep 17 12:00:00 AM","12 - 17 Years","12.66656257102","71%","60.7%"
"2022 Sep 17 12:00:00 AM","18 - 24 Years","14.14994159674","80.2%","65.3%"
"2022 Sep 17 12:00:00 AM","25 - 49 Years","14.46240984582","83.7%","70.8%"
"2022 Sep 17 12:00:00 AM","50 - 64 Years","14.62314450295","94.3%","82.5%"
"2022 Sep 17 12:00:00 AM","65+ Years","18.53793510584","95%","92.4%"
"2022 Sep 16 12:00:00 AM","<2 Years","11.38800313811","4.6%","1.2%"
"2022 Sep 16 12:00:00 AM","2 - 4 Years","11.75615496353","7.4%","2.3%"
"2022 Sep 16 12:00:00 AM","5 - 11 Years","9.30682569386","38.4%","31.4%"
"2022 Sep 16 12:00:00 AM","12 - 17 Years","12.88299227277","71%","60.7%"
"2022 Sep 16 12:00:00 AM","18 - 24 Years","14.47518414046","80.2%","65.3%"
"2022 Sep 16 12:00:00 AM","25 - 49 Years","14.65884348088","83.7%","70.8%"
"2022 Sep 16 12:00:00 AM","50 - 64 Years","14.73052740287","94.3%","82.5%"
