month,avg_valence,n_communications,positive_comms,negative_comms
2021-01,1.0,3,3,0
2021-02,0.5,2,1,0
2021-03,1.0,3,3,0
2021-04,0.25,4,2,1
2021-05,0.3333333333333333,3,2,1
2021-06,1.0,1,1,0
2021-07,-1.0,2,0,2
2021-08,1.0,4,4,0
2021-09,0.6666666666666666,3,2,0
2021-10,1.0,3,3,0
2021-11,0.0,4,2,2
2021-12,0.6666666666666666,3,2,0
2022-01,-0.5,2,0,1
2022-02,0.5,2,1,0
2022-03,1.0,2,2,0
2022-04,0.0,2,1,1
2022-05,0.5,2,1,0
2022-06,0.0,2,1,1
2022-07,-0.5,2,0,1
2022-08,1.0,2,2,0
2022-09,0.0,2,1,1
2022-10,1.0,2,2,0
