GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA195,AV0AA195M,AV0AA2020,AV0AA205,AV0AA205M,AV0AA215,AV0AA215M,AV0AA225,AV0AA225M,AV0AA235,AV0AA235M,AV0AA245,AV0AA245M
"G0100010","Alabama","01","010","Autauga County","001","0010",55380,0,58805,55639,,58239,,58761,,59285,555555555,59947,555555555
"G0100030","Alabama","01","010","Baldwin County","003","0030",212830,0,231767,218289,,227131,,233420,,239945,555555555,246989,555555555
"G0100050","Alabama","01","010","Barbour County","005","0050",25361,0,25223,25026,,25259,,24877,,24757,555555555,24643,555555555
"G0100070","Alabama","01","010","Bibb County","007","0070",22493,0,22293,22374,,22412,,22251,,22152,555555555,22130,555555555
"G0100090","Alabama","01","010","Blount County","009","0090",57681,0,59134,57755,,58884,,59077,,59292,555555555,59518,555555555
"G0100110","Alabama","01","010","Bullock County","011","0110",10248,0,10357,10173,,10386,,10328,,10157,555555555,10058,555555555
"G0100130","Alabama","01","010","Butler County","013","0130",19828,0,19051,19726,,19181,,18981,,18807,555555555,18630,555555555
"G0100150","Alabama","01","010","Calhoun County","015","0150",114618,0,116441,114324,,116425,,116162,,116141,555555555,116090,555555555
"G0100170","Alabama","01","010","Chambers County","017","0170",33660,0,34772,33427,,34834,,34612,,34450,555555555,34192,555555555
"G0100190","Alabama","01","010","Cherokee County","019","0190",25903,0,24971,26035,,24975,,25069,,25224,555555555,25443,555555555
"G0100210","Alabama","01","010","Chilton County","021","0210",44055,0,45014,44147,,44857,,45140,,45500,555555555,45992,555555555
"G0100230","Alabama","01","010","Choctaw County","023","0230",12925,0,12665,12755,,12792,,12669,,12525,555555555,12380,555555555
"G0100250","Alabama","01","010","Clarke County","025","0250",24128,0,23087,23866,,23346,,23058,,22802,555555555,22543,555555555
"G0100270","Alabama","01","010","Clay County","027","0270",13337,0,14236,13285,,14184,,14209,,14188,555555555,14192,555555555
"G0100290","Alabama","01","010","Cleburne County","029","0290",14916,0,15056,14952,,15046,,15144,,15254,555555555,15426,555555555
"G0100310","Alabama","01","010","Coffee County","031","0310",51662,0,53465,52238,,53043,,53559,,54231,555555555,54920,555555555
"G0100330","Alabama","01","010","Colbert County","033","0330",54771,0,57227,54957,,56789,,57270,,57648,555555555,58022,555555555
"G0100350","Alabama","01","010","Conecuh County","035","0350",12394,0,11597,12219,,11778,,11576,,11411,555555555,11275,555555555
"G0100370","Alabama","01","010","Coosa County","037","0370",10757,0,10387,10696,,10442,,10329,,10323,555555555,10300,555555555
"G0100390","Alabama","01","010","Covington County","039","0390",37200,0,37570,37096,,37490,,37542,,37647,555555555,37628,555555555
"G0100410","Alabama","01","010","Crenshaw County","041","0410",13844,0,13194,13826,,13300,,13205,,13144,555555555,13122,555555555
"G0100430","Alabama","01","010","Cullman County","043","0430",82853,0,87866,83345,,87129,,88284,,89463,555555555,90566,555555555
"G0100450","Alabama","01","010","Dale County","045","0450",49277,0,49326,49293,,49443,,49455,,49516,555555555,49599,555555555
"G0100470","Alabama","01","010","Dallas County","047","0470",39149,0,38462,38184,,39162,,38326,,37536,555555555,36858,555555555
"G0100490","Alabama","01","010","DeKalb County","049","0490",71310,0,71608,71430,,71554,,71680,,71946,555555555,72269,555555555
"G0100510","Alabama","01","010","Elmore County","051","0510",81144,0,87977,81526,,87146,,87694,,88669,555555555,89526,555555555
"G0100530","Alabama","01","010","Escambia County","053","0530",37057,0,36757,36775,,36879,,36755,,36695,555555555,36629,555555555
"G0100550","Alabama","01","010","Etowah County","055","0550",102748,0,103436,102721,,103468,,103348,,103208,555555555,103105,555555555
"G0100570","Alabama","01","010","Fayette County","057","0570",16494,0,16321,16406,,16365,,16297,,16173,555555555,16053,555555555
"G0100590","Alabama","01","010","Franklin County","059","0590",31466,0,32113,31587,,32034,,32011,,31978,555555555,31966,555555555
"G0100610","Alabama","01","010","Geneva County","061","0610",26417,0,26659,26383,,26604,,26647,,26726,555555555,26887,555555555
"G0100630","Alabama","01","010","Greene County","063","0630",8324,0,7730,8221,,7851,,7706,,7589,555555555,7424,555555555
"G0100650","Alabama","01","010","Hale County","065","0650",14809,0,14785,14754,,14819,,14742,,14749,555555555,14829,555555555
