GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKVDE001,AKVDE002,AKVDE003,AKVDE004,AKVDE005,AKVDE006,AKVDE007,AKVDE008,AKVDE009,AKVDE010,AKVDE011,AKVDE012,AKVDE013,AKVDE014,AKVDE015,AKVDE016,AKVDE017,AKVDE018,AKVDE019,AKVDE020,AKVDE021,AKVDE022,AKVDE023,AKVDE024,AKVDE025,AKVDE026,AKVDE027,AKVDE028,AKVDE029,AKVDE030,ALATE001,ALA4E001,NAME_M,AKVDM001,AKVDM002,AKVDM003,AKVDM004,AKVDM005,AKVDM006,AKVDM007,AKVDM008,AKVDM009,AKVDM010,AKVDM011,AKVDM012,AKVDM013,AKVDM014,AKVDM015,AKVDM016,AKVDM017,AKVDM018,AKVDM019,AKVDM020,AKVDM021,AKVDM022,AKVDM023,AKVDM024,AKVDM025,AKVDM026,AKVDM027,AKVDM028,AKVDM029,AKVDM030,ALATM001,ALA4M001
"G5100030","2019","VA",,,"Virginia","51","Albemarle County","003",,,,,,,,,,,,,,,,,,"05000US51003","Albemarle County, Virginia",74077,3539,11320,14346,22332,22540,24699,2217,6155,6318,6478,3531,38971,685,3595,5948,13209,15534,1636,0,71,478,708,379,8771,637,1499,1602,1937,3096,86399,5270419700,"Albemarle County, Virginia",742,1149,2165,1757,2154,1900,2487,806,1475,1585,1260,889,2452,455,1199,1347,1453,1642,831,208,97,453,437,351,1644,533,686,652,724,902,5154,354539088
"G5100130","2019","VA",,,"Virginia","51","Arlington County","013",,,,,,,,,,,,,,,,,,"05000US51013","Arlington County, Virginia",175033,9598,12598,21765,60917,70155,20678,1094,970,2342,10087,6185,104068,1480,4567,10526,36592,50903,4423,0,0,869,1553,2001,45864,7024,7061,8028,12685,11066,119755,17777269300,"Arlington County, Virginia",1128,2144,2066,2387,3424,3896,2094,645,453,700,1858,1268,3086,846,1122,1678,2778,3010,1034,208,208,543,559,685,2739,1738,1451,1480,2050,1892,4315,902274383
"G5100150","2019","VA",,,"Virginia","51","Augusta County","015",,,,,,,,,,,,,,,,,,"05000US51015","Augusta County, Virginia",57274,7155,23061,15974,7909,3175,36955,4857,15788,10011,4875,1424,17819,1401,6588,5193,2886,1751,408,166,136,106,0,0,2092,731,549,664,148,0,62668,2269962800,"Augusta County, Virginia",853,1594,1946,1912,1446,835,2369,1314,1843,1524,1184,639,2321,641,1413,1284,789,589,324,203,181,131,208,208,717,289,372,425,217,208,5486,199154907
"G5100190","2019","VA",,,"Virginia","51","Bedford County","019",,,,,,,,,,,,,,,,,,"05000US51019","Bedford County, Virginia",56485,5909,14454,18217,10839,7066,33386,4341,9620,11581,6057,1787,20906,1046,4350,6482,4540,4488,457,0,0,0,79,378,1736,522,484,154,163,413,69125,2825068900,"Bedford County, Virginia",605,1425,2217,2426,1744,1268,2444,1384,1646,2174,1338,631,2374,509,1349,1240,1155,1048,460,208,208,208,100,441,788,404,372,169,172,382,6200,243511767
"G5100410","2019","VA",,,"Virginia","51","Chesterfield County","041",,,,,,,,,,,,,,,,,,"05000US51041","Chesterfield County, Virginia",238956,17981,57475,67249,59383,36868,110326,8551,30356,32453,25745,13221,96238,2862,19760,27485,27206,18925,5588,549,681,1818,1454,1086,26804,6019,6678,5493,4978,3636,81297,13110423300,"Chesterfield County, Virginia",472,2347,3951,4239,3829,3227,4541,1679,3064,2785,2909,1919,4711,1080,2625,3590,2556,2280,1379,623,413,646,686,626,2773,1454,1387,1165,900,795,3265,530780879
"G5100590","2019","VA",,,"Virginia","51","Fairfax County","059",,,,,,,,,,,,,,,,,,"05000US51059","Fairfax County, Virginia",785130,57389,94511,143498,247153,242579,99015,4121,13591,26041,36538,18724,353374,3340,24313,59615,124705,141401,19439,975,1634,4234,6062,6534,313302,48953,54973,53608,79848,75920,128374,64269166500,"Fairfax County, Virginia",364,5899,6404,6174,6125,7253,5332,1306,2187,2942,3135,1784,5878,816,2468,3815,4429,4600,2076,794,684,1112,1024,1074,6640,5832,5646,4946,4066,5536,3352,1199748861
"G5100610","2019","VA",,,"Virginia","51","Fauquier County","061",,,,,,,,,,,,,,,,,,"05000US51061","Fauquier County, Virginia",49325,4134,12767,14949,11079,6396,19257,2260,6955,4597,3397,2048,24937,709,4501,8656,7038,4033,883,5,193,265,280,140,4248,1160,1118,1431,364,175,104809,3206040300,"Fauquier County, Virginia",509,1190,1956,1530,1570,1200,1658,923,1507,854,984,635,1971,327,1106,1341,1310,962,474,6,205,264,302,175,942,558,840,617,244,159,5958,275689468
"G5100690","2019","VA",,,"Virginia","51","Frederick County","069",,,,,,,,,,,,,,,,,,"05000US51069","Frederick County, Virginia",62677,6798,20226,18187,9775,7691,28151,3427,10927,8508,3325,1964,27867,1982,7236,7845,5666,5138,841,210,268,175,109,79,5818,1179,1795,1659,675,510,86229,3118872100,"Frederick County, Virginia",742,1837,2062,2053,1667,1250,2530,1047,1730,1549,1194,753,2315,998,1247,1483,1152,1044,497,274,217,180,136,136,1451,937,882,877,516,458,7748,267457115
"G5100850","2019","VA",,,"Virginia","51","Hanover County","085",,,,,,,,,,,,,,,,,,"05000US51085","Hanover County, Virginia",74806,4662,19502,20509,18457,11676,44668,3765,13780,11970,9715,5438,25889,236,4437,7609,7865,5742,985,50,512,63,281,79,3264,611,773,867,596,417,89812,4360885600,"Hanover County, Virginia",804,1113,1944,2066,1917,1595,2494,979,1655,1680,1491,1188,2342,182,1149,1569,1254,1113,504,82,433,84,251,98,780,466,360,349,394,338,6448,329816870
"G5100870","2019","VA",,,"Virginia","51","Henrico County","087",,,,,,,,,,,,,,,,,,"05000US51087","Henrico County, Virginia",231548,19519,50596,62418,58254,40761,114374,10587,31467,34569,25129,12622,77173,2792,14376,21022,20508,18475,3026,455,614,1048,463,446,36975,5685,4139,5779,12154,9218,68024,12841556200,"Henrico County, Virginia",952,2894,3703,3841,4270,3439,4218,2233,3415,3259,2940,1895,4620,1013,2466,2480,2619,2219,869,438,503,630,274,292,2982,1824,1212,1486,2163,1867,3325,590063897
