GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANNYE001,ANNYE002,ANNYE003,ANNYE004,ANNYE005,ANNYE006,ANNYE007,ANNYE008,ANNYE009,ANNYE010,ANNYE011,ANNYE012,ANNYE013,ANNYE014,ANNYE015,ANNYE016,ANNYE017,ANNYE018,ANNYE019,ANNYE020,ANNYE021,ANNYE022,ANNYE023,ANNYE024,ANNYE025,ANNYE026,ANNYE027,ANNYE028,ANNYE029,ANNYE030,ANY7E001,ANY7E002,ANY7E003,ANY7E004,ANY7E005,ANY7E006,ANY7E007,ANY7E008,ANY7E009,ANY7E010,ANY7E011,ANY7E012,ANY7E013,ANY7E014,ANY7E015,ANY7E016,ANY7E017,ANZHE001,ANZSE001,NAME_M,ANNYM001,ANNYM002,ANNYM003,ANNYM004,ANNYM005,ANNYM006,ANNYM007,ANNYM008,ANNYM009,ANNYM010,ANNYM011,ANNYM012,ANNYM013,ANNYM014,ANNYM015,ANNYM016,ANNYM017,ANNYM018,ANNYM019,ANNYM020,ANNYM021,ANNYM022,ANNYM023,ANNYM024,ANNYM025,ANNYM026,ANNYM027,ANNYM028,ANNYM029,ANNYM030,ANY7M001,ANY7M002,ANY7M003,ANY7M004,ANY7M005,ANY7M006,ANY7M007,ANY7M008,ANY7M009,ANY7M010,ANY7M011,ANY7M012,ANY7M013,ANY7M014,ANY7M015,ANY7M016,ANY7M017,ANZHM001,ANZSM001
"G5100030","2021","VA",,,"Virginia","51","Albemarle County","003",,,,,,,,,,,,,,,,,,"0500000US51003","51003","Albemarle County, Virginia",77671,4312,13081,15670,21409,23199,29377,2493,6996,6726,7224,5938,39107,1156,4546,7291,11919,14195,1361,71,104,581,326,279,7826,592,1435,1072,1940,2787,45195,1053,730,1296,984,1546,1494,1210,1328,1908,3028,3874,5598,4439,3560,6143,7004,92568,5892061800,"Albemarle County, Virginia",1305,1759,2221,2210,1976,2610,2461,1120,1575,1733,1610,1552,2652,885,1343,1408,1453,1827,674,118,162,556,224,286,1313,449,647,641,958,940,1636,617,543,623,475,761,707,525,770,829,1102,956,1307,1134,930,1351,1243,6774,471065832
"G5100130","2021","VA",,,"Virginia","51","Arlington County","013",,,,,,,,,,,,,,,,,,"0500000US51013","51013","Arlington County, Virginia",171343,8059,12693,19407,59813,71371,22351,443,2712,2851,10352,5993,98932,782,4207,9787,37266,46890,4816,154,380,585,1449,2248,45244,6680,5394,6184,10746,16240,108396,4621,1812,1285,1215,1969,1258,2117,2067,1637,5405,7024,11943,11507,10254,13790,30492,125651,18605851000,"Arlington County, Virginia",483,2003,2066,2580,2960,3389,2849,419,1187,888,1550,1505,4220,514,1282,1784,3243,3075,1177,203,329,362,592,743,3690,1935,1660,1940,1819,2220,2209,1220,673,638,574,1038,650,869,971,676,1286,1499,1687,1803,1984,1747,2170,5333,798768978
"G5100150","2021","VA",,,"Virginia","51","Augusta County","015",,,,,,,,,,,,,,,,,,"0500000US51015","51015","Augusta County, Virginia",56195,3549,23417,14101,9375,5753,35101,2878,18272,7547,4188,2216,18622,582,4304,5660,5049,3027,836,42,56,386,66,286,1636,47,785,508,72,224,30186,1674,688,839,638,2260,2005,1127,1274,523,2746,2359,3965,4153,1796,2565,1574,68584,2630188400,"Augusta County, Virginia",1036,844,2295,1979,1704,1325,2848,819,2435,1563,1206,1118,2900,399,1358,1467,1343,1024,484,74,96,286,110,366,613,81,515,370,122,209,1135,987,424,484,394,1125,871,624,619,331,981,799,978,1117,583,871,726,8165,212063915
"G5100190","2021","VA",,,"Virginia","51","Bedford County","019",,,,,,,,,,,,,,,,,,"0500000US51019","51019","Bedford County, Virginia",58575,4279,16224,20296,11302,6474,31888,2933,11344,10332,5073,2206,23764,1176,3808,9121,5755,3904,411,0,0,295,77,39,2512,170,1072,548,397,325,33397,620,1345,1739,774,1151,857,1579,1138,2034,3960,3372,4382,3644,1678,2565,2559,66415,3036348700,"Bedford County, Virginia",599,1139,2175,2105,1818,1212,2600,798,2092,1548,1072,738,2592,607,996,1741,1333,981,414,216,216,384,133,73,592,256,724,337,260,262,1044,421,604,678,350,421,531,789,589,761,1016,868,924,953,494,687,807,6721,269703965
"G5100410","2021","VA",,,"Virginia","51","Chesterfield County","041",,,,,,,,,,,,,,,,,,"0500000US51041","51041","Chesterfield County, Virginia",251241,17635,57695,65410,65053,45448,114943,6325,32635,32971,26878,16134,102287,4039,18102,25785,30713,23648,5048,436,1843,1400,482,887,28963,6835,5115,5254,6980,4779,136070,4900,2509,3095,4488,5187,3307,4544,4005,3899,11097,12322,19060,15620,10693,16412,14932,85796,14677184800,"Chesterfield County, Virginia",728,3007,4796,4726,4689,4251,4662,1559,4005,3141,2944,2414,4705,1454,2174,3039,3133,2685,1254,509,845,661,315,508,3459,1532,1613,1260,1503,1856,1641,1141,807,944,1437,1371,869,1142,1335,1186,1921,2051,2315,2033,1716,2067,2077,3082,672700074
"G5100590","2021","VA",,,"Virginia","51","Fairfax County","059",,,,,,,,,,,,,,,,,,"0500000US51059","51059","Fairfax County, Virginia",781818,46110,92762,135831,255118,251997,105258,2585,15542,22405,40166,24560,352491,3945,26216,55999,124286,142045,21723,963,3073,2995,7928,6764,302346,38617,47931,54432,82738,78628,410660,11581,5363,5727,6524,6392,6749,6138,7040,7997,14466,26221,40562,44076,37682,63477,120665,134115,70362634600,"Fairfax County, Virginia",372,4293,5302,6361,7552,6392,5147,802,2309,2675,3330,2325,6563,1103,2995,4325,5467,5849,2458,604,1283,791,1366,1128,7115,3726,4087,4076,4653,4435,2562,2042,1261,1446,1421,1339,1652,1402,1224,1721,1972,2675,2970,3455,2651,3516,3628,2486,1228992333
"G5100610","2021","VA",,,"Virginia","51","Fauquier County","061",,,,,,,,,,,,,,,,,,"0500000US51061","51061","Fauquier County, Virginia",50758,4203,13240,12113,13925,7277,19994,2130,7747,4233,4418,1466,24598,900,3568,7228,7861,5041,1451,116,282,248,440,365,4715,1057,1643,404,1206,405,26887,692,689,869,1015,1164,590,513,768,350,967,2107,2553,2704,2210,4120,5576,108497,3720295100,"Fauquier County, Virginia",613,1079,1770,1409,1856,1087,1877,763,1436,1015,1234,654,1869,403,1035,1227,1411,1013,595,137,253,190,376,263,922,749,750,287,533,310,780,469,357,494,594,559,402,387,464,248,490,761,742,739,743,949,1025,10872,300909552
"G5100690","2021","VA",,,"Virginia","51","Frederick County","069",,,,,,,,,,,,,,,,,,"0500000US51069","51069","Frederick County, Virginia",65540,6757,21126,17068,12633,7956,26680,2255,11282,6624,4366,2153,30770,1760,8227,8298,7465,5020,1380,70,534,313,377,86,6710,2672,1083,1833,425,697,34581,1405,600,872,615,1529,980,826,1181,1457,2125,3581,5205,5029,3139,3392,2645,86044,3519165700,"Frederick County, Virginia",494,1834,2382,1981,2021,1612,2661,855,1838,1472,1244,906,2674,643,1598,1301,1599,1206,734,117,452,237,379,126,870,1661,860,1085,286,528,1045,690,412,460,427,862,589,431,534,661,740,1135,1050,1067,916,1005,846,8891,317426299
"G5100850","2021","VA",,,"Virginia","51","Hanover County","085",,,,,,,,,,,,,,,,,,"0500000US51085","51085","Hanover County, Virginia",78718,6141,18511,23132,19466,11468,48647,4578,13833,14002,10407,5827,25498,688,3795,7451,8454,5110,882,0,171,529,46,136,3691,875,712,1150,559,395,42274,1304,1162,643,1046,1354,1010,696,1308,1543,1858,4753,5824,5256,3681,4923,5913,94381,5005334000,"Hanover County, Virginia",608,1770,2282,2322,2185,1760,2615,1673,2187,2037,1579,1461,2451,428,997,1313,1673,1075,643,216,147,592,77,157,807,514,563,544,318,223,1093,593,509,392,467,648,446,414,568,551,671,1378,1413,1004,920,865,1122,5659,325417634
"G5100870","2021","VA",,,"Virginia","51","Henrico County","087",,,,,,,,,,,,,,,,,,"0500000US51087","51087","Henrico County, Virginia",234035,16584,51421,58256,60392,47382,116124,7994,32819,33145,28226,13940,77036,2725,12488,19305,22315,20203,3930,253,615,617,1529,916,36945,5612,5499,5189,8322,12323,137035,4763,3160,2947,5585,4924,5682,3857,6159,4128,10911,13092,18459,14616,8750,12575,17427,78868,15325814900,"Henrico County, Virginia",680,2247,3209,3767,4283,4188,3897,1492,2586,2858,2834,2444,4224,982,1952,2695,2434,2616,1160,208,443,426,815,521,3023,1423,1171,1373,1643,1848,1483,1479,987,1011,1190,1183,1291,1138,1342,1288,1569,1896,2261,1942,1324,2071,2194,3337,757229016
